Background Message,zotero,doi,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/AQ6AFWF6,10.1002/2013wr013918,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/GNHRBN29,10.1002/eap.1787,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/GNHRBN29,10.1002/eap.1787,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RGPGHNXW,10.1002/ece3.2579,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/H98VLTW3,10.1002/jsfa.6351,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/C3SXMT46,10.1002/ldr.2656,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/C3SXMT46,10.1002/ldr.2656,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/YF9YVDIW,10.1002/ldr.2879,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/CHINC93M,10.1007/978-1-4020-8709-7_19,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EVI6PMGR,10.1007/978-3-319-93145-6_4,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QF4Q2ZVV,10.1007/978-3-642-31110-9_2,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/P4LUJUU9,10.1007/978-90-481-8863-5_33,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TACV8EKD,10.1007/978-90-481-9806-1_11,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/6SHQHR28,10.1007/978-94-007-6455-2_17,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/P8K8HV9F,10.1007/bf01267591,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EDM3WB5N,10.1007/s10584-011-0383-3,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RCR6IEWM,10.1007/s10818-010-9090-9,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3XSBSPH3,10.1007/s12571-015-0466-5,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/4ES2XA2T,10.1007/s13593-012-0089-6,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/4ES2XA2T,10.1007/s13593-012-0089-6,
